date,time,open,high,low,close,volume,turnover,settlement,open_interest
2011/01/06,0,3197.6,3224.2,3166.0,3173.0,186234.0,177956818140.0,3174.4,21747.0
2011/01/07,0,3162.0,3230.0,3145.0,3171.0,217547.0,208035337860.0,3164.8,19468.0
2011/01/10,0,3183.0,3198.0,3115.4,3122.0,186662.0,177035050800.0,3131.8,23331.0
2011/01/11,0,3130.0,3141.0,3106.0,3140.0,171964.0,161097722520.0,3126.4,23216.0
2011/01/12,0,3151.0,3165.4,3107.0,3153.6,206573.0,194454711900.0,3137.4,20891.0
2011/01/13,0,3167.0,3174.8,3128.4,3147.0,201842.0,190801460520.0,3150.8,20932.0
2011/01/14,0,3143.0,3144.8,3089.0,3097.4,207938.0,194231849040.0,3108.0,22644.0
2011/01/17,0,3090.2,3096.0,2967.6,2971.8,202138.0,183812338320.0,2984.6,23177.0
2011/01/18,0,2971.6,2986.8,2960.2,2974.0,143426.0,127905599760.0,2976.8,17968.0
2011/01/19,0,2977.8,3052.8,2968.0,3044.6,157936.0,142516894980.0,3038.0,10664.0
2011/01/20,0,3065.6,3065.6,2953.6,2957.2,193701.0,174699446280.0,2962.2,18909.0
2011/01/21,0,2950.6,3062.0,2948.0,2990.8,310304.0,279112350240.0,2997.0,21179.0
2011/01/24,0,3005.4,3018.4,2954.2,2970.2,245416.0,219803344080.0,2975.6,22120.0
2011/01/25,0,2979.0,2982.8,2935.2,2960.0,225117.0,199814607180.0,2949.4,24192.0
2011/01/26,0,2955.4,2999.6,2951.4,2987.2,211212.0,188671562700.0,2985.0,23723.0
2011/01/27,0,2983.6,3049.6,2943.0,3030.4,264338.0,238656119220.0,3036.4,21986.0
2011/01/28,0,3026.4,3057.4,3020.2,3045.8,164248.0,149681266080.0,3047.0,19547.0
2011/01/31,0,3035.0,3091.8,3031.0,3079.8,152443.0,140363800200.0,3080.8,20679.0
2011/02/01,0,3088.8,3098.0,3070.2,3085.4,104520.0,96695728560.0,3086.2,18921.0
2011/02/09,0,3077.6,3095.0,3033.0,3038.4,155572.0,143142458460.0,3043.8,18648.0
2011/02/10,0,3040.0,3118.8,3031.0,3104.6,177171.0,163102652640.0,3094.8,19168.0
2011/02/11,0,3109.8,3131.0,3097.2,3117.2,164256.0,153456851400.0,3117.4,15640.0
2011/02/14,0,3122.0,3242.8,3115.2,3228.6,154535.0,147807707100.0,3230.2,12542.0
2011/02/15,0,3260.0,3279.0,3234.0,3242.0,136569.0,133591104600.0,3250.4,25840.0
2011/02/16,0,3238.0,3273.8,3225.0,3272.6,177034.0,172628477220.0,3259.4,30257.0
2011/02/17,0,3277.0,3289.6,3233.0,3262.0,185330.0,181350910440.0,3261.8,29892.0
2011/02/18,0,3262.0,3268.6,3221.0,3231.4,193928.0,188671365660.0,3234.4,31275.0
2011/02/21,0,3223.0,3288.6,3212.2,3284.2,207321.0,202209263880.0,3276.0,33381.0
2011/02/22,0,3288.0,3294.4,3175.0,3179.4,244202.0,235771829640.0,3189.4,29062.0
2011/02/23,0,3174.0,3199.2,3165.0,3175.2,177419.0,169572660060.0,3176.8,29940.0
2011/02/24,0,3175.0,3209.0,3167.2,3193.2,208424.0,199350027840.0,3194.0,27148.0
2011/02/25,0,3202.0,3236.0,3175.0,3214.6,219730.0,211329588600.0,3210.4,27001.0
2011/02/28,0,3214.0,3260.6,3185.2,3255.2,208090.0,201442996500.0,3253.8,28559.0
2011/03/01,0,3260.4,3282.0,3245.0,3254.4,176603.0,172773076920.0,3255.2,27250.0
2011/03/02,0,3242.0,3262.8,3213.2,3245.4,202275.0,196396385340.0,3243.0,26946.0
2011/03/03,0,3249.8,3284.0,3221.2,3223.6,229396.0,224080832760.0,3237.2,29001.0
2011/03/04,0,3231.8,3292.8,3228.2,3288.6,188349.0,183864815940.0,3280.8,31099.0
2011/03/07,0,3290.0,3353.2,3287.8,3342.2,199756.0,199446266520.0,3345.6,32634.0
2011/03/08,0,3337.8,3365.0,3318.0,3363.4,152733.0,152967491700.0,3340.8,30429.0
2011/03/09,0,3369.0,3372.0,3336.0,3345.4,180272.0,181346628960.0,3349.6,31486.0
2011/03/10,0,3339.0,3340.8,3282.2,3290.0,182138.0,180930966660.0,3294.4,31105.0
2011/03/11,0,3284.2,3304.8,3235.4,3250.2,172330.0,169667516460.0,3263.8,28110.0
2011/03/14,0,3258.4,3274.4,3235.4,3258.4,159236.0,155612790960.0,3264.2,26073.0
2011/03/15,0,3251.2,3255.6,3137.4,3199.6,217685.0,208212522180.0,3196.2,15584.0
2011/03/16,0,3217.6,3249.6,3205.2,3242.8,80032.0,77425553820.0,3243.4,8439.0
2011/03/17,0,3245.4,3254.4,3195.8,3225.0,191484.0,185656234200.0,3216.2,21508.0
2011/03/18,0,3242.6,3263.6,3225.0,3232.2,159810.0,155350858800.0,3234.4,26021.0
2011/03/21,0,3231.0,3288.0,3202.0,3230.0,185625.0,179766959940.0,3217.6,26447.0
2011/03/22,0,3241.2,3247.6,3181.2,3231.6,211735.0,204710309040.0,3230.8,27558.0
2011/03/23,0,3231.0,3284.6,3221.0,3269.2,186721.0,182543368440.0,3273.4,27477.0
2011/03/24,0,3275.0,3279.0,3260.6,3267.0,127958.0,125544388440.0,3268.6,25776.0
2011/03/25,0,3271.6,3324.4,3269.0,3298.4,171197.0,169440278280.0,3305.0,28514.0
2011/03/28,0,3308.6,3337.0,3295.0,3296.6,172326.0,171520040820.0,3304.8,28269.0
2011/03/29,0,3291.6,3322.0,3262.8,3273.8,193055.0,190758317520.0,3274.2,28685.0
2011/03/30,0,3279.8,3284.6,3248.0,3263.6,182887.0,179443977720.0,3271.0,30975.0
2011/03/31,0,3265.6,3273.8,3221.0,3244.0,181792.0,177077069040.0,3238.6,28770.0
2011/04/01,0,3243.6,3280.6,3232.8,3276.4,156137.0,152255673360.0,3267.8,27514.0
2011/04/06,0,3275.8,3320.8,3265.2,3308.0,178965.0,177120354540.0,3310.6,27887.0
2011/04/07,0,3312.2,3327.8,3303.2,3323.8,128424.0,127743421860.0,3320.0,25177.0
2011/04/08,0,3325.6,3366.4,3316.6,3366.0,159841.0,160320489540.0,3358.0,25641.0
2011/04/11,0,3368.0,3382.0,3336.8,3344.6,137974.0,139244065020.0,3347.4,22859.0
2011/04/12,0,3341.2,3351.8,3310.4,3326.0,149352.0,149415292920.0,3321.0,19725.0
2011/04/13,0,3318.4,3377.8,3304.2,3374.8,131950.0,131998971780.0,3366.0,13520.0
2011/04/14,0,3396.4,3396.4,3360.0,3364.0,123848.0,125486178720.0,3369.0,21830.0
2011/04/15,0,3365.8,3395.8,3331.8,3372.8,196648.0,198231927900.0,3369.2,26522.0
2011/04/18,0,3368.0,3384.0,3342.4,3355.4,171516.0,173115281220.0,3359.2,27020.0
2011/04/19,0,3343.4,3344.6,3302.2,3311.4,169120.0,168453495780.0,3318.0,27227.0
2011/04/20,0,3318.8,3327.6,3296.2,3316.0,131575.0,130770145920.0,3309.2,29702.0
2011/04/21,0,3328.6,3345.4,3313.0,3320.0,143692.0,143429262000.0,3323.4,28613.0
2011/04/22,0,3323.0,3335.8,3298.0,3307.8,132043.0,131352035160.0,3306.0,28394.0
2011/04/25,0,3302.0,3304.4,3254.0,3261.2,147000.0,144426388680.0,3265.2,28955.0
2011/04/26,0,3256.0,3267.4,3232.8,3252.8,134902.0,131572312860.0,3244.0,31425.0
2011/04/27,0,3258.2,3263.0,3202.0,3230.2,132562.0,128858479800.0,3220.4,31188.0
2011/04/28,0,3238.0,3251.4,3185.8,3195.2,201579.0,194682465840.0,3200.4,33348.0
2011/04/29,0,3191.2,3215.4,3186.4,3193.2,145652.0,139856164200.0,3206.8,32313.0
2011/05/03,0,3203.4,3217.8,3175.0,3210.4,130928.0,125699622300.0,3212.4,30941.0
